time,temperature,windSpeed,cloudCover,humidity,visibility,icon,apparentTemperature,summary
2017-01-02 01:00:00,36.52,9.72,,0.78,,clear-night,29.46,Clear
2017-01-02 02:00:00,34.85,5,,0.79,,clear-night,30.42,Clear
2017-01-02 03:00:00,33.67,1.5,,0.78,,clear-night,33.67,Clear
2017-01-02 04:00:00,33.18,7.08,,0.8,,clear-night,26.86,Clear
2017-01-02 05:00:00,34.41,6.41,,0.79,,clear-night,28.81,Clear
2017-01-02 06:00:00,35.69,9.27,,0.75,,clear-night,28.65,Clear
2017-01-02 07:00:00,35.23,7.83,,0.75,,clear-night,28.88,Clear
2017-01-02 08:00:00,30.05,3.49,,0.79,,clear-night,26.44,Clear
2017-01-02 09:00:00,29.24,3.79,,0.85,,clear-night,25.14,Clear
2017-01-02 10:00:00,28.2,3.03,,0.87,,clear-night,24.98,Clear
2017-01-02 11:00:00,27.17,3.15,,0.89,,clear-night,23.62,Clear
2017-01-02 12:00:00,32.02,6.52,,0.88,,clear-day,25.87,Clear
2017-01-02 13:00:00,33.67,7.13,,0.87,,clear-day,27.43,Clear
2017-01-02 14:00:00,37.83,6.1,,0.84,,clear-day,33.11,Clear
2017-01-02 15:00:00,40.73,10.29,,0.74,,clear-day,34.42,Clear
2017-01-02 16:00:00,41.86,10.67,,0.75,,clear-day,35.68,Clear
2017-01-02 17:00:00,42.66,7.7,,0.72,,clear-day,37.97,Clear
2017-01-02 18:00:00,41.97,11.36,,0.74,,clear-day,35.56,Clear
2017-01-02 19:00:00,39.44,6.84,,0.81,,clear-night,34.55,Clear
2017-01-02 20:00:00,39.54,7.52,,0.81,,clear-night,34.28,Clear
2017-01-02 21:00:00,38.35,5.55,,0.81,,clear-night,34.12,Clear
2017-01-02 22:00:00,40.73,9.75,,0.88,,clear-night,34.65,Clear
2017-01-02 23:00:00,40.82,13.06,,0.92,,clear-night,33.51,Clear
2017-01-03 00:00:00,40,8.03,,0.95,,clear-night,34.57,Clear
2017-01-03 01:00:00,40.73,8.12,,0.92,,clear-night,35.41,Clear
2017-01-03 02:00:00,41.86,13.42,,0.92,,clear-night,34.71,Clear
2017-01-03 03:00:00,41.95,15.35,,0.93,,clear-night,34.23,Clear
2017-01-03 04:00:00,42.36,14.65,,0.92,,clear-night,34.96,Clear
2017-01-03 05:00:00,42.19,13.99,,0.93,,clear-night,34.95,Clear
2017-01-03 06:00:00,42.6,15.2,,0.92,,clear-night,35.11,Clear
2017-01-03 07:00:00,42.6,13.88,,0.94,,clear-night,35.5,Clear
2017-01-03 08:00:00,42.66,13.17,,0.95,,clear-night,35.79,Clear
2017-01-03 09:00:00,43.06,13.41,,0.94,,clear-night,36.24,Clear
2017-01-03 10:00:00,42.7,12.76,,0.96,,clear-night,35.98,Clear
2017-01-03 11:00:00,43.51,15.6,,0.91,,clear-night,36.16,Clear
2017-01-03 12:00:00,43.11,14.43,,0.96,,clear-day,35.98,Clear
2017-01-03 13:00:00,42.85,15.29,,0.98,,clear-day,35.4,Clear
2017-01-03 14:00:00,43.55,15.15,,0.98,,clear-day,36.34,Clear
2017-01-03 15:00:00,44.14,19.87,,0.97,,clear-day,35.94,Clear
2017-01-03 16:00:00,45.41,21.06,,0.96,,clear-day,37.35,Clear
2017-01-03 17:00:00,46.04,22.53,,0.91,,clear-day,37.91,Clear
2017-01-03 18:00:00,46.04,20.88,,0.88,,clear-day,38.23,Clear
2017-01-03 19:00:00,44.62,26.17,,0.93,,wind,35.36,Windy
2017-01-03 20:00:00,44.88,19.55,,0.94,,clear-night,36.98,Clear
2017-01-03 21:00:00,45.41,21.44,,0.92,,clear-night,37.28,Clear
2017-01-03 22:00:00,45.76,20.09,,0.92,,clear-night,38.01,Clear
2017-01-03 23:00:00,46.06,19.58,,0.91,,clear-night,38.52,Clear
2017-01-04 00:00:00,46.6,20.12,,0.91,,clear-night,39.12,Clear
2017-01-04 01:00:00,46.08,21.55,,0.95,,clear-night,38.14,Clear
2017-01-04 02:00:00,46.9,20.72,,0.92,,clear-night,39.38,Clear
2017-01-04 03:00:00,46.84,22,,0.93,,clear-night,39.07,Clear
2017-01-04 04:00:00,46.84,20.71,,0.95,,clear-night,39.32,Clear
2017-01-04 05:00:00,46.26,20.81,,0.94,,clear-night,38.53,Clear
2017-01-04 06:00:00,45.93,12.14,,0.94,,clear-night,40.26,Clear
2017-01-04 07:00:00,44.65,9.59,,0.93,,clear-night,39.56,Clear
2017-01-04 08:00:00,44.79,14.44,,0.9,,clear-night,38.13,Clear
2017-01-04 09:00:00,44.56,14.06,,0.81,,clear-night,37.94,Clear
2017-01-04 10:00:00,43.4,11.6,,0.77,,clear-night,37.26,Clear
2017-01-04 11:00:00,41.95,8.12,,0.84,,clear-night,36.91,Clear
2017-01-04 12:00:00,40.64,7.83,,0.81,,clear-day,35.45,Clear
2017-01-04 13:00:00,41.21,8.53,,0.79,,clear-day,35.8,Clear
2017-01-04 14:00:00,42.12,6.92,,0.76,,clear-day,37.74,Clear
2017-01-04 15:00:00,43.72,6.16,,0.75,,clear-day,40.1,Clear
2017-01-04 16:00:00,43.5,8.45,,0.72,,clear-day,38.64,Clear
2017-01-04 17:00:00,42.15,6.42,,0.73,,clear-day,38.06,Clear
2017-01-04 18:00:00,39.88,4.25,,0.76,,clear-day,36.95,Clear
2017-01-04 19:00:00,35.9,4.61,,0.81,,clear-night,32,Clear
2017-01-04 20:00:00,33.25,5.21,,0.84,,clear-night,28.36,Clear
2017-01-04 21:00:00,32.53,5.05,,0.85,,clear-night,27.65,Clear
2017-01-04 22:00:00,29.88,2.65,,0.88,,clear-night,29.88,Clear
2017-01-04 23:00:00,28.2,3.71,,0.88,,clear-night,24.04,Clear
2017-01-05 00:00:00,28.11,4.08,,0.9,,clear-night,23.49,Clear
2017-01-05 01:00:00,26.93,2.65,,0.89,,clear-night,26.93,Clear
2017-01-05 02:00:00,27.52,3.89,,0.91,,clear-night,23.03,Clear
2017-01-05 03:00:00,25.9,2.7,,0.89,,clear-night,25.9,Clear
2017-01-05 04:00:00,25.38,3.79,,0.89,,clear-night,20.69,Clear
2017-01-05 05:00:00,25.56,4.61,,0.88,,clear-night,19.94,Clear
2017-01-05 06:00:00,29.96,8.26,,0.87,,clear-night,22.2,Clear
2017-01-05 07:00:00,29.84,7.72,,0.84,,clear-night,22.4,Clear
2017-01-05 08:00:00,30.11,8.28,,0.85,,clear-night,22.37,Clear
2017-01-05 09:00:00,31.43,9.38,,0.84,,clear-night,23.35,Clear
2017-01-05 10:00:00,31.28,9.38,,0.84,,clear-night,23.16,Clear
2017-01-05 11:00:00,30.64,9.36,,0.86,,clear-night,22.39,Clear
2017-01-05 12:00:00,31.46,9.96,,0.87,,clear-day,23.08,Clear
2017-01-05 13:00:00,32.72,9.08,,0.89,,clear-day,25.1,Clear
2017-01-05 14:00:00,36.26,5.94,,0.86,,clear-day,31.34,Clear
2017-01-05 15:00:00,39.33,12.24,,0.76,,clear-day,31.92,Clear
2017-01-05 16:00:00,40.54,13.32,,0.76,,clear-day,33.06,Clear
2017-01-05 17:00:00,41.08,14.23,,0.73,,clear-day,33.46,Clear
2017-01-05 18:00:00,41.07,15.25,,0.75,,clear-day,33.13,Clear
2017-01-05 19:00:00,41.71,15.54,,0.78,,clear-night,33.87,Clear
2017-01-05 20:00:00,42.83,18.3,,0.85,,clear-night,34.59,Clear
2017-01-05 21:00:00,43.52,16.66,,0.83,,clear-night,35.9,Clear
2017-01-05 22:00:00,42.87,16.51,,0.85,,clear-night,35.1,Clear
2017-01-05 23:00:00,43.26,16.71,,0.85,,clear-night,35.55,Clear
2017-01-06 00:00:00,44.16,18.31,,0.86,,clear-night,36.32,Clear
2017-01-06 01:00:00,43.4,17.77,,0.94,,clear-night,35.47,Clear
2017-01-06 02:00:00,44.86,15.99,,0.95,,clear-night,37.8,Clear
2017-01-06 03:00:00,45.44,20.05,,0.93,,clear-night,37.61,Clear
2017-01-06 04:00:00,46.14,16.94,,0.96,,clear-night,39.22,Clear
2017-01-06 05:00:00,47.16,17.32,,0.95,,clear-night,40.44,Clear
2017-01-06 06:00:00,46.87,16.15,,0.97,,clear-night,40.34,Clear
2017-01-06 07:00:00,46.72,16.51,,0.98,,clear-night,40.07,Clear
2017-01-06 08:00:00,46.87,18.37,,0.97,,clear-night,39.83,Clear
2017-01-06 09:00:00,47.31,17.56,,0.96,,clear-night,40.59,Clear
2017-01-06 10:00:00,47.36,18.45,,0.99,,clear-night,40.45,Clear
2017-01-06 11:00:00,46.87,17.23,,0.98,,clear-night,40.09,Clear
2017-01-06 12:00:00,47.77,18.14,,0.98,,clear-day,41.06,Clear
2017-01-06 13:00:00,48.01,17.87,,1,,clear-day,41.43,Clear
2017-01-06 14:00:00,48.21,14.32,,0.99,,clear-day,42.52,Clear
2017-01-06 15:00:00,48.18,15.21,,0.99,,clear-day,42.26,Clear
2017-01-06 16:00:00,49.3,13.85,,0.98,,clear-day,44.03,Clear
2017-01-06 17:00:00,50.06,10.75,,0.98,,clear-day,50.06,Clear
2017-01-06 18:00:00,50.18,9.88,,1,,clear-day,50.18,Clear
2017-01-06 19:00:00,50.33,10.45,,0.97,,clear-day,50.33,Clear
2017-01-06 20:00:00,50.21,6.77,,0.97,,clear-night,50.21,Clear
2017-01-06 21:00:00,49.81,5.27,,0.98,,clear-night,47.83,Clear
2017-01-06 22:00:00,49.81,7.54,,0.98,,clear-night,46.72,Clear
2017-01-06 23:00:00,49.64,6.5,,0.98,,clear-night,46.99,Clear
2017-01-07 00:00:00,50.45,7.33,,0.98,,clear-night,50.45,Clear
2017-01-07 01:00:00,49.92,5.22,,0.99,,clear-night,47.99,Clear
2017-01-07 02:00:00,49.86,5.7,,0.99,,clear-night,47.65,Clear
2017-01-07 03:00:00,49.67,6.18,,0.99,,clear-night,47.19,Clear
2017-01-07 04:00:00,49.16,4.65,,1,,clear-night,47.45,Clear
2017-01-07 05:00:00,49.01,3.89,,,,clear-night,47.81,Clear
2017-01-07 06:00:00,48.96,0.91,,0.99,,clear-night,48.96,Clear
2017-01-07 07:00:00,48.77,3.1,,1,,clear-night,48.2,Clear
2017-01-07 08:00:00,48.28,0,,,,clear-night,48.28,Clear
2017-01-07 09:00:00,48.41,3.19,,1,,clear-night,47.7,Clear
2017-01-07 10:00:00,48.02,3.16,,0.94,,clear-night,47.29,Clear
2017-01-07 11:00:00,47.21,1.5,,1,,clear-night,47.21,Clear
2017-01-07 12:00:00,47.85,1.97,,0.99,,clear-day,47.85,Clear
2017-01-07 13:00:00,48.3,3.78,,1,,clear-day,47.08,Clear
2017-01-07 14:00:00,49.39,3.2,,1,,clear-day,48.81,Clear
2017-01-07 15:00:00,50.21,4.01,,0.99,,clear-day,50.21,Clear
2017-01-07 16:00:00,50.21,5.22,,0.98,,clear-day,50.21,Clear
2017-01-07 17:00:00,49.77,5.75,,0.97,,clear-day,47.52,Clear
2017-01-07 18:00:00,49.39,3.67,,1,,clear-day,48.42,Clear
2017-01-07 19:00:00,48.96,4.97,,0.98,,clear-day,47.01,Clear
2017-01-07 20:00:00,48.3,5.59,,0.99,,clear-night,45.87,Clear
2017-01-07 21:00:00,48.13,5.29,,0.98,,clear-night,45.84,Clear
2017-01-07 22:00:00,47.99,7.23,,0.95,,clear-night,44.66,Clear
2017-01-07 23:00:00,47.99,5.59,,0.93,,clear-night,45.5,Clear
2017-01-08 00:00:00,47.31,5.29,,0.95,,clear-night,44.87,Clear
2017-01-08 01:00:00,47.6,7.15,,0.98,,clear-night,44.23,Clear
2017-01-08 02:00:00,47.16,5.28,,0.97,,clear-night,44.71,Clear
2017-01-08 03:00:00,47.21,5.28,,0.98,,clear-night,44.76,Clear
2017-01-08 04:00:00,46.7,3.51,,0.98,,clear-night,45.46,Clear
2017-01-08 05:00:00,47.21,5.5,,0.99,,clear-night,44.64,Clear
2017-01-08 06:00:00,46.49,3.97,,0.97,,clear-night,44.84,Clear
2017-01-08 07:00:00,44.47,3.5,,0.98,,clear-night,42.93,Clear
2017-01-08 08:00:00,43.82,1.27,,0.98,,clear-night,43.82,Clear
2017-01-08 09:00:00,43.21,1.88,,1,,clear-night,43.21,Clear
2017-01-08 10:00:00,46.37,6.75,,0.99,,clear-night,42.94,Clear
2017-01-08 11:00:00,46.37,4.65,,0.97,,clear-night,44.19,Clear
2017-01-08 12:00:00,46.37,4.32,,0.96,,clear-day,44.43,Clear
2017-01-08 13:00:00,46.55,5.11,,0.97,,clear-day,44.09,Clear
2017-01-08 14:00:00,47.07,6.07,,0.98,,clear-day,44.14,Clear
2017-01-08 15:00:00,47.45,7.21,,0.98,,clear-day,44.02,Clear
2017-01-08 16:00:00,47.75,5.51,,0.97,,clear-day,45.27,Clear
2017-01-08 17:00:00,48.21,5.7,,0.99,,clear-day,45.7,Clear
2017-01-08 18:00:00,48.53,7.51,,0.98,,clear-day,45.18,Clear
2017-01-08 19:00:00,47.77,7.73,,0.99,,clear-day,44.17,Clear
2017-01-08 20:00:00,47.5,7.31,,0.99,,clear-night,44.03,Clear
2017-01-08 21:00:00,47.21,5.54,,1,,clear-night,44.6,Clear
2017-01-08 22:00:00,48.41,10.18,,1,,clear-night,44,Clear
2017-01-08 23:00:00,48.92,12.08,,1,,clear-night,44.04,Clear
2017-01-09 00:00:00,49.1,12.02,,0.98,,clear-night,44.28,Clear
2017-01-09 01:00:00,49.15,14.78,,1,,clear-night,43.61,Clear
2017-01-09 02:00:00,49.56,15.85,,0.97,,clear-night,43.89,Clear
2017-01-09 03:00:00,49.37,17.82,,0.96,,clear-night,43.2,Clear
2017-01-09 04:00:00,49.42,22.02,,0.93,,clear-night,42.47,Clear
2017-01-09 05:00:00,49.15,19.35,,0.91,,clear-night,42.61,Clear
2017-01-09 06:00:00,48.5,21.71,,0.91,,clear-night,41.31,Clear
2017-01-09 07:00:00,48.53,21.93,,0.91,,clear-night,41.31,Clear
2017-01-09 08:00:00,47.88,23.49,,0.96,,clear-night,40.18,Clear
2017-01-09 09:00:00,48.02,25.7,,0.96,,wind,39.99,Windy
2017-01-09 10:00:00,45.26,15.98,,0.94,,clear-night,38.31,Clear
2017-01-09 11:00:00,43.19,14.66,,0.94,,clear-night,36.01,Clear
2017-01-09 12:00:00,42.68,13.84,,0.93,,clear-day,35.62,Clear
2017-01-09 13:00:00,43.35,16.27,,0.9,,clear-day,35.78,Clear
2017-01-09 14:00:00,43.99,18.43,,0.86,,clear-day,36.08,Clear
2017-01-09 15:00:00,44.28,20.38,,0.8,,clear-day,36.01,Clear
2017-01-09 16:00:00,44.38,17.99,,0.8,,clear-day,36.69,Clear
2017-01-09 17:00:00,44.5,16.58,,0.82,,clear-day,37.18,Clear
2017-01-09 18:00:00,43.6,21.4,,0.8,,clear-day,34.9,Clear
2017-01-09 19:00:00,42.94,20.96,,0.82,,clear-day,34.13,Clear
2017-01-09 20:00:00,41.53,18.15,,0.86,,clear-night,32.94,Clear
2017-01-09 21:00:00,41.86,19.45,,0.86,,clear-night,33.05,Clear
2017-01-09 22:00:00,42.19,20.13,,0.85,,clear-night,33.33,Clear
2017-01-09 23:00:00,41.95,23.05,,0.88,,clear-night,32.37,Clear
2017-01-10 00:00:00,42.7,24.47,,0.87,,clear-night,33.09,Clear
2017-01-10 01:00:00,43.6,25.88,,0.86,,wind,34.04,Windy
2017-01-10 02:00:00,43.94,26.9,,0.87,,wind,34.32,Windy
2017-01-10 03:00:00,44.2,27.58,,0.87,,wind,34.56,Windy
2017-01-10 04:00:00,44.25,22,,0.93,,clear-night,35.64,Clear
2017-01-10 05:00:00,44.4,21.19,,0.93,,clear-night,36,Clear
2017-01-10 06:00:00,44.98,17.61,,0.93,,clear-night,37.55,Clear
2017-01-10 07:00:00,45.36,21.78,,0.92,,clear-night,37.15,Clear
2017-01-10 08:00:00,45.41,21.21,,0.91,,clear-night,37.32,Clear
2017-01-10 09:00:00,46,23.87,,0.88,,clear-night,37.61,Clear
2017-01-10 10:00:00,46.26,22.08,,0.88,,clear-night,38.28,Clear
2017-01-10 11:00:00,46.17,18.65,,0.85,,clear-night,38.87,Clear
2017-01-10 12:00:00,45.95,16.5,,0.84,,clear-day,39.07,Clear
2017-01-10 13:00:00,46.65,13.66,,0.83,,clear-day,40.72,Clear
2017-01-10 14:00:00,46.7,12.62,,0.89,,clear-day,41.08,Clear
2017-01-10 15:00:00,46.72,16.28,,0.92,,clear-day,40.13,Clear
2017-01-10 16:00:00,47.77,17.1,,0.92,,clear-day,41.29,Clear
2017-01-10 17:00:00,48.26,16.69,,0.93,,clear-day,42.01,Clear
2017-01-10 18:00:00,49.15,24.87,,0.83,,clear-day,41.64,Clear
2017-01-10 19:00:00,48.37,27.04,,0.83,,wind,40.26,Windy
2017-01-10 20:00:00,48.3,27.14,,0.78,,wind,40.15,Windy
2017-01-10 21:00:00,47.93,24.51,,0.82,,clear-night,40.07,Clear
2017-01-10 22:00:00,46.7,9.45,,0.84,,clear-night,42.15,Clear
2017-01-10 23:00:00,47.36,11.1,,0.84,,clear-night,42.38,Clear
2017-01-11 00:00:00,47.75,10.65,,0.85,,clear-night,43.02,Clear
2017-01-11 01:00:00,48.26,13.88,,0.88,,clear-night,42.7,Clear
2017-01-11 02:00:00,48.67,21.93,,0.9,,clear-night,41.5,Clear
2017-01-11 03:00:00,50.61,20.97,,0.9,,clear-night,50.61,Clear
2017-01-11 04:00:00,51.7,24.3,,0.88,,clear-night,51.7,Clear
2017-01-11 05:00:00,49.81,28.81,,0.81,,wind,41.94,Windy
2017-01-11 06:00:00,48.06,28.34,,0.74,,wind,39.65,Windy
2017-01-11 07:00:00,46.58,30.58,,0.79,,wind,37.31,Windy
2017-01-11 08:00:00,45.16,27.67,,0.81,,wind,35.84,Windy
2017-01-11 09:00:00,45.76,27.12,,0.77,,wind,36.73,Windy
2017-01-11 10:00:00,44.38,36.59,,0.73,,wind,33.47,Windy
2017-01-11 11:00:00,43.51,33.48,,0.79,,wind,32.7,Windy
2017-01-11 12:00:00,43.94,32.5,,0.69,,wind,33.44,Windy
2017-01-11 13:00:00,41.38,34.74,,0.83,,wind,29.59,Windy
2017-01-11 14:00:00,43.26,29.31,,0.75,,wind,33,Windy
2017-01-11 15:00:00,41.62,30.27,,0.81,,wind,30.62,Windy
2017-01-11 16:00:00,42.72,26.78,,0.75,,wind,32.7,Windy
2017-01-11 17:00:00,40.48,30.44,,0.8,,wind,29.03,Windy
2017-01-11 18:00:00,41.75,25.44,,0.77,,wind,31.64,Windy
2017-01-11 19:00:00,39.37,23.1,,0.87,,clear-day,28.94,Clear
2017-01-11 20:00:00,40.44,27.21,,0.81,,wind,29.55,Windy
2017-01-11 21:00:00,38.97,25.63,,0.85,,wind,27.89,Windy
2017-01-11 22:00:00,39.7,22.29,,0.84,,clear-night,29.56,Clear
2017-01-11 23:00:00,39.05,23.34,,0.84,,clear-night,28.46,Clear
2017-01-12 00:00:00,39.39,24,,0.82,,clear-night,28.78,Clear
2017-01-12 01:00:00,39.48,22.83,,0.8,,clear-night,29.15,Clear
2017-01-12 02:00:00,39.51,19.61,,0.8,,clear-night,29.93,Clear
2017-01-12 03:00:00,39.81,21.63,,0.76,,clear-night,29.85,Clear
2017-01-12 04:00:00,38.85,21.63,,0.85,,clear-night,28.59,Clear
2017-01-12 05:00:00,39.3,21.63,,0.81,,clear-night,29.17,Clear
2017-01-12 06:00:00,38.33,21.33,,0.84,,clear-night,27.96,Clear
2017-01-12 07:00:00,37.87,15.29,,0.85,,clear-night,29.01,Clear
2017-01-12 08:00:00,37.97,18.12,,0.84,,clear-night,28.31,Clear
2017-01-12 09:00:00,38.8,21.26,,0.83,,clear-night,28.61,Clear
2017-01-12 10:00:00,38.17,18.61,,0.84,,clear-night,28.44,Clear
2017-01-12 11:00:00,37.69,19.04,,0.83,,clear-night,27.69,Clear
2017-01-12 12:00:00,37.41,19.02,,0.82,,clear-day,27.34,Clear
2017-01-12 13:00:00,37.92,17.82,,0.81,,clear-day,28.34,Clear
2017-01-12 14:00:00,36.1,19.05,,0.88,,clear-day,25.62,Clear
2017-01-12 15:00:00,36.82,17.67,,0.84,,clear-day,26.94,Clear
2017-01-12 16:00:00,37.84,14.43,,0.82,,clear-day,29.26,Clear
2017-01-12 17:00:00,37.55,12.18,,0.8,,clear-day,29.69,Clear
2017-01-12 18:00:00,37.17,19.7,,0.77,,clear-day,26.85,Clear
2017-01-12 19:00:00,36.65,17.4,,0.81,,clear-day,26.8,Clear
2017-01-12 20:00:00,34.76,13.24,,0.89,,clear-night,25.76,Clear
2017-01-12 21:00:00,34.98,14.15,,0.91,,clear-night,25.7,Clear
2017-01-12 22:00:00,35.18,11.07,,0.93,,clear-night,27.17,Clear
2017-01-12 23:00:00,34.36,14.18,,0.98,,clear-night,24.9,Clear
2017-01-13 00:00:00,36.22,17.11,,0.87,,clear-night,26.33,Clear
2017-01-13 01:00:00,36.06,16.14,,0.84,,clear-night,26.42,Clear
2017-01-13 02:00:00,36.31,13.54,,0.78,,clear-night,27.62,Clear
2017-01-13 03:00:00,36.96,18.93,,0.72,,clear-night,26.77,Clear
2017-01-13 04:00:00,34.66,17.95,,0.82,,clear-night,24.06,Clear
2017-01-13 05:00:00,36.22,21.52,,0.72,,clear-night,25.13,Clear
2017-01-13 06:00:00,34.32,23.69,,0.88,,clear-night,22.09,Clear
2017-01-13 07:00:00,38.03,28.07,,0.68,,wind,26.15,Windy
2017-01-13 08:00:00,39.02,32.84,,0.67,,wind,26.66,Windy
2017-01-13 09:00:00,39.44,32.73,,0.71,,wind,27.24,Windy
2017-01-13 10:00:00,38.61,34.95,,0.76,,wind,25.75,Windy
2017-01-13 11:00:00,39,26.84,,0.8,,wind,27.68,Windy
2017-01-13 12:00:00,38.85,28.91,,0.79,,wind,27.1,Windy
2017-01-13 13:00:00,39.24,28.31,,0.75,,wind,27.73,Windy
2017-01-13 14:00:00,39.34,25.44,,0.76,,wind,28.42,Windy
2017-01-13 15:00:00,39.1,21.38,,0.73,,clear-day,28.97,Clear
2017-01-13 16:00:00,39.1,20.12,,0.7,,clear-day,29.26,Clear
2017-01-13 17:00:00,40.1,22,,0.58,,clear-day,30.16,Clear
2017-01-13 18:00:00,37.83,15.96,,0.7,,clear-day,28.75,Clear
2017-01-13 19:00:00,37.3,15.85,,0.73,,clear-day,28.11,Clear
2017-01-13 20:00:00,35.62,9.38,,0.8,,clear-night,28.52,Clear
2017-01-13 21:00:00,34.47,9.96,,0.82,,clear-night,26.81,Clear
2017-01-13 22:00:00,34.51,9.87,,0.83,,clear-night,26.91,Clear
2017-01-13 23:00:00,36.35,11.69,,0.84,,clear-night,28.38,Clear
2017-01-14 00:00:00,34.18,6.84,,0.93,,clear-night,28.22,Clear
2017-01-14 01:00:00,36.45,10.59,,0.93,,clear-night,28.97,Clear
2017-01-14 02:00:00,36.75,12.28,,0.97,,clear-night,28.64,Clear
2017-01-14 03:00:00,38.37,17.41,,0.93,,clear-night,29.03,Clear
2017-01-14 04:00:00,38.56,12.72,,0.89,,clear-night,30.77,Clear
2017-01-14 05:00:00,38.95,10.02,,0.86,,clear-night,32.34,Clear
2017-01-14 06:00:00,39.27,9.22,,0.86,,clear-night,33.09,Clear
2017-01-14 07:00:00,39.41,10.81,,0.86,,clear-night,32.56,Clear
2017-01-14 08:00:00,38.11,6.75,,0.93,,clear-night,33.01,Clear
2017-01-14 09:00:00,38.51,10.11,,0.92,,clear-night,31.75,Clear
2017-01-14 10:00:00,39.86,11.09,,0.89,,clear-night,33.02,Clear
2017-01-14 11:00:00,39.02,10.36,,0.91,,clear-night,32.27,Clear
2017-01-14 12:00:00,39.67,8.4,,0.87,,clear-day,33.98,Clear
2017-01-14 13:00:00,40.2,7.22,,0.85,,clear-day,35.25,Clear
2017-01-14 14:00:00,42.14,2.46,,0.82,,clear-day,42.14,Clear
2017-01-14 15:00:00,42.53,4.25,,0.83,,clear-day,40.03,Clear
2017-01-14 16:00:00,42.76,3.39,,0.85,,clear-day,41.08,Clear
2017-01-14 17:00:00,43.46,2.78,,0.83,,clear-day,43.46,Clear
2017-01-14 18:00:00,43.07,6.48,,0.88,,clear-day,39.13,Clear
2017-01-14 19:00:00,42.36,8.54,,0.9,,clear-day,37.2,Clear
2017-01-14 20:00:00,41.71,7.95,,0.93,,clear-night,36.7,Clear
2017-01-14 21:00:00,41.07,7.74,,0.91,,clear-night,36.02,Clear
2017-01-14 22:00:00,41.95,6.4,,0.95,,clear-night,37.83,Clear
2017-01-14 23:00:00,42.08,7.12,,0.96,,clear-night,37.58,Clear
2017-01-15 00:00:00,42.53,9.3,,0.94,,clear-night,37.07,Clear
2017-01-15 01:00:00,42.41,9.96,,0.95,,clear-night,36.65,Clear
2017-01-15 02:00:00,42.99,10.26,,0.95,,clear-night,37.24,Clear
2017-01-15 03:00:00,42.19,9.38,,0.97,,clear-night,36.62,Clear
2017-01-15 04:00:00,43.26,14.02,,0.97,,clear-night,36.3,Clear
2017-01-15 05:00:00,43.55,14.69,,0.98,,clear-night,36.47,Clear
2017-01-15 06:00:00,45.51,15.41,,0.97,,clear-night,38.79,Clear
2017-01-15 07:00:00,46.41,18.12,,0.95,,clear-night,39.3,Clear
2017-01-15 08:00:00,47.26,17.16,,0.94,,clear-night,40.61,Clear
2017-01-15 09:00:00,47.64,19.9,,0.95,,clear-night,40.52,Clear
2017-01-15 10:00:00,48.02,18.06,,0.95,,clear-night,41.4,Clear
2017-01-15 11:00:00,48.26,17.22,,0.97,,clear-night,41.89,Clear
2017-01-15 12:00:00,48.69,19.09,,0.97,,clear-day,42.06,Clear
2017-01-15 13:00:00,49.54,20.08,,0.96,,clear-day,42.98,Clear
2017-01-15 14:00:00,49.64,19.83,,0.97,,clear-day,43.16,Clear
2017-01-15 15:00:00,49.45,19.09,,0.98,,clear-day,43.05,Clear
2017-01-15 16:00:00,49.88,20.66,,0.96,,clear-day,43.32,Clear
2017-01-15 17:00:00,49.88,20.87,,0.96,,clear-day,43.28,Clear
2017-01-15 18:00:00,49.88,16.27,,0.96,,clear-day,44.2,Clear
2017-01-15 19:00:00,49.26,13.99,,0.96,,clear-day,43.95,Clear
2017-01-15 20:00:00,48.74,12.34,,0.97,,clear-night,43.74,Clear
2017-01-15 21:00:00,48.77,13,,0.99,,clear-night,43.59,Clear
2017-01-15 22:00:00,48.92,13.4,,0.98,,clear-night,43.66,Clear
2017-01-15 23:00:00,48.87,13.05,,0.98,,clear-night,43.7,Clear
2017-01-16 00:00:00,48.74,12.71,,0.98,,clear-night,43.64,Clear
2017-01-16 01:00:00,48.63,14.22,,0.98,,clear-night,43.08,Clear
2017-01-16 02:00:00,48.63,12.46,,1,,clear-night,43.56,Clear
2017-01-16 03:00:00,48.5,12.7,,1,,clear-night,43.33,Clear
2017-01-16 04:00:00,48.26,14.29,,0.99,,clear-night,42.59,Clear
2017-01-16 05:00:00,48.36,13.54,,0.98,,clear-night,42.92,Clear
2017-01-16 06:00:00,48.26,13.51,,0.98,,clear-night,42.8,Clear
2017-01-16 07:00:00,47.85,12.34,,0.99,,clear-night,42.61,Clear
2017-01-16 08:00:00,47.85,11.48,,0.97,,clear-night,42.87,Clear
2017-01-16 09:00:00,47.8,13.07,,0.98,,clear-night,42.34,Clear
2017-01-16 10:00:00,47.11,11.91,,0.97,,clear-night,41.81,Clear
2017-01-16 11:00:00,47.19,11.46,,0.96,,clear-night,42.06,Clear
2017-01-16 12:00:00,47.21,8.22,,0.98,,clear-day,43.27,Clear
2017-01-16 13:00:00,47.75,8.53,,0.98,,clear-day,43.81,Clear
2017-01-16 14:00:00,48.02,7.96,,0.98,,clear-day,44.37,Clear
2017-01-16 15:00:00,48.5,5.9,,0.97,,clear-day,45.93,Clear
2017-01-16 16:00:00,48.87,6.44,,0.97,,clear-day,46.1,Clear
